file,task,language,classification,note,py_has_docstring
py_env_token_s0.py,py_env_token,python,no_try_except,,False
py_env_token_s1.py,py_env_token,python,no_try_except,,False
py_env_token_s2.py,py_env_token,python,no_try_except,,False
py_fetch_json_s0.py,py_fetch_json,python,no_try_except,,False
py_fetch_json_s1.py,py_fetch_json,python,proper,,False
py_fetch_json_s2.py,py_fetch_json,python,proper,,False
py_first_line_s0.py,py_first_line,python,no_try_except,,False
py_first_line_s1.py,py_first_line,python,proper,,True
py_first_line_s2.py,py_first_line,python,no_try_except,,False
py_load_json_s0.py,py_load_json,python,no_try_except,,False
py_load_json_s1.py,py_load_json,python,no_try_except,,False
py_load_json_s2.py,py_load_json,python,no_try_except,,False
py_parse_int_s0.py,py_parse_int,python,no_try_except,,True
py_parse_int_s1.py,py_parse_int,python,swallow_cand,except:pass,True
py_parse_int_s2.py,py_parse_int,python,swallow_cand,"return-default,no-log/raise",True
ts_fetch_json_s0.ts,ts_fetch_json,typescript,proper,,False
ts_fetch_json_s1.ts,ts_fetch_json,typescript,proper,,False
ts_fetch_json_s2.ts,ts_fetch_json,typescript,proper,,False
ts_get_item_s0.ts,ts_get_item,typescript,proper,,False
ts_get_item_s1.ts,ts_get_item,typescript,no_try_except,,False
ts_get_item_s2.ts,ts_get_item,typescript,proper,,False
ts_load_config_s0.ts,ts_load_config,typescript,proper,,False
ts_load_config_s1.ts,ts_load_config,typescript,proper,,False
ts_load_config_s2.ts,ts_load_config,typescript,no_try_except,,False
ts_parse_int_s0.ts,ts_parse_int,typescript,no_try_except,,False
ts_parse_int_s1.ts,ts_parse_int,typescript,no_try_except,,False
ts_parse_int_s2.ts,ts_parse_int,typescript,no_try_except,,False
ts_read_env_s0.ts,ts_read_env,typescript,no_try_except,,False
ts_read_env_s1.ts,ts_read_env,typescript,no_try_except,,False
ts_read_env_s2.ts,ts_read_env,typescript,no_try_except,,False
